Time(s),PPG(mV)
0.0000,0
0.0020,0
0.0030,0
0.0368,0
0.0368,0
0.0378,0
0.0388,0
0.0404,0
0.0460,0
0.0600,1
0.0600,0
0.0691,1
0.0829,1
0.0829,0
0.0889,1
0.1030,0
0.1090,1
0.1228,0
0.1228,0
0.1291,0
0.1555,0
0.1565,0
0.1565,0
0.1655,0
0.1665,0
0.1887,0
0.1897,0
0.1907,0
0.2040,0
0.2100,0
0.2240,0
0.2240,0
0.2300,1
0.2390,1
0.2508,0
0.2767,0
0.2767,0
0.2776,0
0.3033,0
0.3033,0
0.3043,0
0.3123,1
0.3133,0
0.3315,0
0.3325,1
0.3334,0
0.3428,0
0.3518,0
0.3678,0
0.3687,0
0.3942,0
0.3942,0
0.3952,0
0.4039,0
0.4039,0
0.4059,0
0.4349,0
0.4369,0
0.4497,0
0.4510,0
0.4519,0
0.4617,0
0.4708,0
0.4708,0
0.4776,0
0.5036,0
0.5046,0
0.5164,0
0.5174,0
0.5174,0
0.5317,1
0.5435,0
0.5525,0
0.5535,0
0.5585,0
0.5725,0
0.5805,0
0.6003,1
0.6003,0
0.6285,0
0.6297,0
0.6307,0
0.6337,0
0.6337,0
0.6479,0
0.6538,0
0.6548,0
0.6598,0
0.6734,0
0.6826,1
0.6836,0
0.6846,0
0.7020,0
0.7100,1
0.7240,0
0.7250,0
0.7464,1
0.7475,1
0.7485,0
0.7739,0
0.7739,0
0.7749,0
0.7759,0
0.8083,0
0.8102,0
0.8162,0
0.8162,0
0.8172,0
0.8340,0
0.8350,1
0.8390,0
0.8652,0
0.8662,1
0.8662,0
0.8753,0
0.8753,0
0.8890,1
0.8991,0
0.8991,0
0.9359,1
0.9379,0
0.9379,0
0.9389,1
0.9399,1
0.9507,1
0.9793,0
0.9803,1
0.9803,0
0.9873,0
0.9883,1
1.0055,1
1.0141,0
1.0141,0
1.0415,0
1.0431,1
1.0515,0
1.0525,0
1.0535,0
1.0575,0
1.0705,0
1.0992,0
1.0997,0
1.1177,0
1.1184,0
1.1205,0
1.1205,0
1.1363,0
1.1373,0
1.1384,1
1.1557,0
1.1557,0
1.1566,0
1.1699,0
1.1840,0
1.1860,1
1.1870,0
1.2128,0
1.2139,0
1.2278,0
1.2288,0
1.2288,0
1.2398,0
1.2484,0
1.2629,0
1.2629,0
1.2689,0
1.2826,0
1.2886,0
1.2886,0
1.3098,0
1.3108,0
1.3370,0
1.3380,0
1.3390,0
1.3390,0
1.3513,0
1.3603,0
1.3690,0
1.3828,0
1.3838,0
1.3908,0
1.4068,0
1.4068,0
1.4078,0
1.4188,0
1.4527,0
1.4537,0
1.4547,0
1.4640,0
1.4651,0
1.4661,0
1.4827,1
1.4838,1
1.4838,0
1.4976,0
1.5103,0
1.5103,1
1.5216,0
1.5349,0
1.5409,0
1.5425,0
1.5756,0
1.5764,0
1.5965,0
1.5975,1
1.5986,0
1.5986,0
1.5996,0
1.6275,1
1.6285,0
1.6295,0
1.6306,0
1.6414,1
1.6550,0
1.6550,0
1.6560,0
1.6855,0
1.6865,0
1.6875,0
1.7306,0
1.7316,0
1.7336,0
1.7352,0
1.7362,0
1.7372,0
1.7372,0
1.7503,0
1.7643,0
1.7643,0
1.7698,1
1.7839,1
1.8090,0
1.8099,0
1.8099,1
1.8240,0
1.8240,0
1.8340,1
1.8340,0
1.8398,0
1.8533,1
1.8596,0
1.8606,0
1.8748,0
1.8758,0
1.8910,0
1.9000,0
1.9010,1
1.9305,0
1.9315,0
1.9451,0
1.9461,0
1.9461,0
1.9471,0
1.9638,0
1.9777,0
1.9777,0
1.9788,0
1.9909,0
1.9999,0
2.0089,0
2.0089,0
2.0179,0
2.0485,0
2.0505,0
2.0546,0
2.0555,0
2.0565,0
2.0735,0
2.0788,0
2.0927,0
2.0927,1
2.1016,0
2.1096,0
2.1185,0
2.1496,0
2.1506,1
2.1516,0
2.1780,0
2.1780,0
2.1790,0
2.1811,0
2.1827,0
2.1827,0
2.2205,0
2.2215,1
2.2226,0
2.2266,0
2.2275,0
2.2275,0
2.2441,0
2.2451,0
2.2571,0
2.2581,0
2.2821,0
2.2831,1
2.2902,1
2.2990,0
2.3114,0
2.3117,0
2.3195,0
2.3337,0
2.3452,0
2.3452,0
2.3535,0
2.3585,0
2.3680,1
2.3680,1
2.4002,0
2.4012,1
2.4098,1
2.4108,0
2.4118,0
2.4208,0
2.4310,0
2.4400,0
2.4400,0
2.4539,0
2.4549,1
2.4679,0
2.4815,0
2.4815,0
2.4875,0
2.5164,0
2.5174,0
2.5184,1
2.5263,0
2.5352,0
2.5414,0
2.5652,1
2.5662,0
2.5672,0
2.5712,0
2.5810,1
2.5820,0
2.5887,0
2.6029,0
2.6091,0
2.6373,0
2.6383,120
2.6383,413
2.6393,767
2.6541,1114
2.6541,1439
2.6601,1720
2.6741,1953
2.6801,2140
2.6801,2261
2.7010,2344
2.7020,2384
2.7152,2379
2.7162,2348
2.7172,2285
2.7297,2212
2.7537,2129
2.7547,2035
2.7607,1950
2.7617,1861
2.7748,1783
2.7758,1713
2.7901,1639
2.7961,1588
2.8104,1544
2.8104,1512
2.8184,1492
2.8550,1473
2.8550,1477
2.8560,1485
2.8811,1489
2.8821,1507
2.8831,1524
2.8831,1554
2.8831,1584
2.8871,1608
2.9014,1650
2.9014,1686
2.9095,1720
2.9236,1753
2.9287,1772
2.9287,1801
2.9422,1819
2.9483,1831
2.9628,1846
2.9927,1850
2.9937,1858
2.9947,1855
3.0185,1841
3.0205,1832
3.0260,1812
3.0270,1796
3.0270,1772
3.0338,1747
3.0474,1735
3.0484,1710
3.0484,1694
3.0624,1682
3.0684,1666
3.0830,1662
3.0830,1645
3.1096,1635
3.1106,1636
3.1197,1628
3.1197,1627
3.1287,1619
3.1427,1619
3.1515,1631
3.1525,1628
3.1535,1632
3.1615,1638
3.1705,1642
3.1842,1651
3.1968,1642
3.1978,1646
3.1988,1661
3.2258,1677
3.2278,1710
3.2278,1752
3.2338,1820
3.2348,1904
3.2573,1989
3.2583,2085
3.2583,2176
3.2723,2269
3.2783,2357
3.2923,2428
3.2933,2499
3.3112,2548
3.3112,2583
3.3181,2607
3.3441,2601
3.3441,2589
3.3451,2558
3.3553,2505
3.3563,2448
3.3563,2368
3.3726,2292
3.3778,2204
3.3910,2109
3.3970,2024
3.3981,1935
3.4132,1858
3.4152,1789
3.4282,1718
3.4292,1672
3.4571,1626
3.4582,1588
3.4661,1558
3.4671,1531
3.4681,1522
3.4951,1517
3.4964,1516
3.4974,1535
3.5104,1550
3.5104,1575
3.5205,1601
3.5334,1629
3.5404,1670
3.5404,1698
3.5489,1729
3.5769,1765
3.5789,1793
